series_code,date,value,period,value_raw,year,month,mom_pct,yoy_pct,series_name,series_name_api,series_title_api,frequency,unit,theme,priority,source
PN01271PM,2022-12-01,0.793924170395989,Dic.2022,0.793924170395989,2022,12,53.373907972198964,1.4165051728687095,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-01-01,0.226446521871514,Ene.2023,0.226446521871514,2023,1,-71.47756293166282,507.6165124812971,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-02-01,0.29452251053137,Feb.2023,0.29452251053137,2023,2,30.062722137318755,-5.436857875355772,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-03-01,1.25348677152025,Mar.2023,1.25348677152025,2023,3,325.59964916051445,-15.45689064531297,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-04-01,0.556251880069387,Abr.2023,0.556251880069387,2023,4,-55.623633794335525,-42.171137796552394,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-05-01,0.31786146413237,May.2023,0.31786146413237,2023,5,-42.85655913779206,-17.22895846395177,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-06-01,-0.152769746155551,Jun.2023,-0.152769746155551,2023,6,-148.06173864848608,-112.83103209553116,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-07-01,0.391066276983018,Jul.2023,0.391066276983018,2023,7,-355.98411126822987,-58.43660512876856,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-08-01,0.376132603479856,Ago.2023,0.376132603479856,2023,8,-3.8187065421165123,-43.5695661003383,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2023-09-01,0.0164026333286269,Sep.2023,0.0164026333286269,2023,9,-95.63913545997474,-96.86108758209892,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
